size_category,daily_rate_yen,monthly_rate_yen,dimensions_spec,weight_limit,valid_from,valid_to,notes
60,1.0,30,3辺合計60cm以内,2kg以内,2024-01-01,9999-12-31,OPENLOGI 202604 実支払額ベース
80,2.5,75,3辺合計80cm以内,5kg以内,2024-01-01,9999-12-31,OPENLOGI 202604 実支払額ベース
100,4.0,120,3辺合計100cm以内,10kg以内,2024-01-01,9999-12-31,OPENLOGI 202604 実支払額ベース
140,10.0,300,3辺合計140cm以内,15kg以内,2024-01-01,9999-12-31,OPENLOGI 202604 実支払額ベース
150,12.0,360,中間サイズ,,2024-01-01,9999-12-31,OPENLOGI 202604 実支払額ベース
170,18.0,540,3辺合計170cm以内,,2024-01-01,9999-12-31,OPENLOGI 202604 実支払額ベース
